name	x	y	z
cepPiva	0.0083	0.01	0.0164
cepPiva	0.0076	0.0093	0.015
cepPiva	0.0071	0.0086	0.0138
cepPiva	0.0066	0.0081	0.0127
cepPiva	0.0061	0.0075	0.0116
cepPiva	0.0057	0.0071	0.0107
cepPiva	0.0054	0.0066	0.0098
cepPiva	0.005	0.0063	0.009
cepPiva	0.0046	0.0057	0.0083
cepPiva	0.0044	0.0055	0.0076
cepPiva	0.004	0.0052	0.007
cepPiva	0.0039	0.0049	0.0065
cepPiva	0.0037	0.0047	0.006
cepPiva	0.0035	0.0044	0.0055
cepPiva	0.0032	0.0043	0.0051
cepPiva	0.0031	0.004	0.0047
cepPiva	0.0029	0.0038	0.0044
cepPiva	0.0028	0.0036	0.004
cepPiva	0.0026	0.0035	0.0037
cepPiva	0.0025	0.0034	0.0035
cepPiva	0.0025	0.0033	0.0032
cepPiva	0.0024	0.0031	0.003
cepPiva	0.0022	0.003	0.0028
cepPiva	0.0022	0.0029	0.0026
cepPiva	0.0022	0.0028	0.0024
cepPiva	0.002	0.0027	0.0022
cepPiva	0.002	0.0026	0.0021
cepPiva	0.0018	0.0025	0.002
cepPiva	0.0018	0.0025	0.0018
cepPiva	0.0017	0.0024	0.0017
cepPiva	0.0017	0.0023	0.0016
cepPiva	0.0016	0.0022	0.0015
cepPiva	0.0016	0.0022	0.0014
cepPiva	0.0016	0.0021	0.0013
cepPiva	0.0014	0.0021	0.0012
cepPiva	0.0014	0.0019	0.0012
cepPiva	0.0014	0.0019	0.0011
cepPiva	0.0013	0.0019	0.0011
cepPiva	0.0013	0.0018	0.001
cepPiva	0.0014	0.0018	0.0009
cepPiva	0.0012	0.0017	0.0009
cepPiva	0.0012	0.0017	0.0008
cepPiva	0.0012	0.0016	0.0008
cepPiva	0.0012	0.0016	0.0008
cepPiva	0.0011	0.0015	0.0007
cepPiva	0.0011	0.0015	0.0007
cepPiva	0.0011	0.0014	0.0007
cepPiva	1.6155	1.7862	1.1244
cepPiva	1.4244	1.5782	1.018
cepPiva	1.2612	1.4015	0.9296
cepPiva	1.1201	1.2498	0.8553
cepPiva	0.9987	1.1178	0.7918
cepPiva	0.893	1.0028	0.7369
cepPiva	0.8009	0.9023	0.688
cepPiva	0.7196	0.8135	0.6473
cepPiva	0.6434	0.7297	0.6014
cepPiva	0.5807	0.6615	0.5703
cepPiva	0.5244	0.6002	0.537
cepPiva	0.4733	0.5442	0.5055
cepPiva	0.4293	0.4959	0.4774
cepPiva	0.3893	0.4521	0.4507
cepPiva	0.3542	0.4142	0.4265
cepPiva	0.338	0.3965	0.4149
cepPiva	0.2818	0.3348	0.3724
cepPiva	0.2368	0.2848	0.3351
cepPiva	0.2006	0.2443	0.3023
cepPiva	0.1711	0.2111	0.2732
cepPiva	0.1469	0.1832	0.2472
