Ax      Bx     Ay      By     Az      Bz     label
0.1836 -0.0854 0.3333 -0.0592 0.1457 -0.0901 1
0.1707 -0.0903 0.4269 -0.0594 0.2181 -0.0861 1
0.1936 -0.0877 0.4958 -0.0608 0.2585 -0.0847 1
0.0589 -0.0845 0.0268 -0.1076 0.0810 -0.0728 1
0.0288 -0.0876 0.0177 -0.1003 0.0421 -0.0729 1
0.0373 -0.0884 0.0226 -0.1147 0.0734 -0.0730 1
0.0328 -0.0911 0.0301 -0.0960 0.1358 -0.0542 1
0.2131 -0.0871 0.0576 -0.1096 0.3873 -0.0750 1
0.1387 -0.0910 0.0281 -0.5318 0.2787 -0.0758 1
0.0038 -0.0487 0.0140 -0.0488 0.0071 -0.0507 1
0.0041 -0.0453 0.0079 -0.0512 0.0156 -0.0503 1
0.1384 -0.0930 0.2596 -0.0790 0.6340 -0.0603 1
0.2867 -0.0770 0.1744 -0.0868 0.5102 -0.0588 1
0.2678 -0.0791 0.1731 -0.0945 0.5673 -0.0581 1
0.1828 -0.0732 0.1170 -0.0846 0.0825 -0.0824 1
0.1138 -0.0742 0.0540 -0.0864 0.0612 -0.0873 1
0.1067 -0.0893 0.0810 -0.0911 0.1860 -0.0599 1
0.1484 -0.0962 0.2249 -0.0858 0.4003 -0.0591 1
0.0959 -0.1020 0.1984 -0.0883 0.3822 -0.0595 1
0.0047 -0.1210 0.0023 -0.4185 0.0277 -0.0566 1
0.0476 -0.0660 0.0295 -0.0625 0.0206 -0.0713 1
0.1274 -0.0859 0.0344 -0.1278 0.2777 -0.0743 1
0.0797 -0.0833 0.0161 -0.2191 0.1566 -0.0751 1
0.1621 -0.0901 0.0669 -0.0865 0.0845 -0.0798 1
0.0496 -0.0856 0.0157 -0.2086 0.0449 -0.0809 1
0.1312 -0.0848 0.1685 -0.0851 0.1839 -0.0849 2
0.0752 -0.0856 0.0954 -0.0855 0.0977 -0.0861 2
0.1461 -0.0849 0.2128 -0.0835 0.1735 -0.0844 2
0.0744 -0.0851 0.0975 -0.0857 0.0928 -0.0862 2
0.1070 -0.0847 0.1239 -0.0851 0.1308 -0.0854 2
0.1140 -0.0845 0.1769 -0.0845 0.1496 -0.0848 2
0.0807 -0.0852 0.0648 -0.0863 0.0822 -0.0857 2
0.1924 -0.0840 0.1693 -0.0842 0.2215 -0.0834 2
0.0793 -0.0859 0.0827 -0.0867 0.0931 -0.0858 2
0.0534 -0.0869 0.1050 -0.0855 0.0784 -0.0859 2
0.0861 -0.0855 0.0992 -0.0860 0.0978 -0.0854 2
0.0772 -0.0860 0.0992 -0.0850 0.0726 -0.0866 2
0.0594 -0.0876 0.0610 -0.0880 0.0692 -0.0870 2
0.0774 -0.0841 0.1210 -0.0845 0.1020 -0.0851 2
0.1018 -0.0861 0.0927 -0.0874 0.0823 -0.0861 2
0.0938 -0.0830 0.0791 -0.0847 0.0821 -0.0833 2
0.1068 -0.0835 0.0894 -0.0845 0.0850 -0.0854 2
0.0654 -0.0860 0.0669 -0.0857 0.0606 -0.0866 2
0.0913 -0.0848 0.0790 -0.0851 0.0792 -0.0846 2
0.0768 -0.0888 0.0605 -0.0906 0.0733 -0.0866 2
0.1068 -0.0843 0.1128 -0.0839 0.0909 -0.0856 2
0.1077 -0.0851 0.1002 -0.0848 0.0848 -0.0846 2
