0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 label
0.0526611895 0.0372374325 0.0268654224 0.0196603149 0.0145948915 0.0109929804 0.0083652691 0.0064773865 0.0049284215 0.0038986675 0.0030755194 0.0024415537 0.0019613854 0.0015807401 0.0012900950 0.0011634750 0.0007894345 0.0005484421 0.0003885612 0.0002805087 0.0002060540 0.0001535158 0.0001159327 0.0000886355 0.0000683793 0.0000535274 0.0000420286 0.0000335456 0.0000267708 0.0000216734 0.0000175634 0.0000143538 0.0000118220 0.0000097576 0.0000081349 0.0000068253 0.0000057173 0.0000048385 0.0000040919 0.0000034930 0.0000029843 0.0000025512 0.0000022090 0.0000019029 0.0000016585 0.0000014284 0.0000012437 0.0000010919 0.0000009543 0.0000008346 0.0000007398 0.0000006478 0.0000005749 0.0000005092 0.0000004571 0.0000004044 0.0000003611 0.0000003233 0.0000002876 0.0000002623 0.0000002344 0.0000002107 0.0000001909 0.0000001726 0.0000001569 0.0000001442 0.0000001305 0.0000001166 0.0000001074 0.0000000962 0.0000000891 0.0000000822 0.0000000748 0.0000000684 0.0000000632 0.0000000583 0.0000000537 0.0000000497 0.0000000453 0.0000000421 0.0000000390 0.0000000376 0.0000000336 0.0000000327 0.0000000290 0.0000000270 0.0000000257 0.0000000238 0.0000000223 0.0000000211 0.0000000198 0.0000000175 0.0000000170 0.0000000157 0.0000000000
0.0598377777 0.0424174700 0.0306728077 0.0224930719 0.0167502319 0.0126514771 0.0096816054 0.0075330205 0.0057575834 0.0045695233 0.0036160190 0.0028769655 0.0023188370 0.0018759525 0.0015364035 0.0013882497 0.0009510716 0.0006646060 0.0004742568 0.0003451936 0.0002551918 0.0001914103 0.0001457510 0.0001121198 0.0000872910 0.0000686328 0.0000542820 0.0000434729 0.0000349562 0.0000284227 0.0000232089 0.0000190851 0.0000157781 0.0000131587 0.0000109888 0.0000092269 0.0000077738 0.0000065592 0.0000056033 0.0000048134 0.0000041063 0.0000035501 0.0000030540 0.0000026687 0.0000023031 0.0000020231 0.0000017652 0.0000015569 0.0000013684 0.0000012021 0.0000010542 0.0000009473 0.0000008322 0.0000007483 0.0000006630 0.0000005947 0.0000005367 0.0000004794 0.0000004277 0.0000003851 0.0000003448 0.0000003191 0.0000002837 0.0000002595 0.0000002361 0.0000002144 0.0000001976 0.0000001782 0.0000001657 0.0000001521 0.0000001379 0.0000001270 0.0000001141 0.0000001069 0.0000000985 0.0000000902 0.0000000861 0.0000000779 0.0000000745 0.0000000674 0.0000000632 0.0000000576 0.0000000529 0.0000000495 0.0000000470 0.0000000428 0.0000000407 0.0000000374 0.0000000361 0.0000000328 0.0000000305 0.0000000294 0.0000000269 0.0000000263 0.0000000000
0.0162540996 0.0115699715 0.0083937903 0.0061700874 0.0046031008 0.0034799933 0.0026623433 0.0020730789 0.0015849636 0.0012576160 0.0009970941 0.0007941392 0.0006418343 0.0005178865 0.0004236925 0.0003825858 0.0002613500 0.0001829829 0.0001306720 0.0000947528 0.0000696552 0.0000522603 0.0000397392 0.0000304358 0.0000236410 0.0000184606 0.0000145847 0.0000116424 0.0000093322 0.0000076036 0.0000061757 0.0000050127 0.0000041432 0.0000034227 0.0000028745 0.0000023894 0.0000020158 0.0000016971 0.0000014389 0.0000012322 0.0000010487 0.0000008997 0.0000007707 0.0000006651 0.0000005793 0.0000005039 0.0000004403 0.0000003778 0.0000003374 0.0000002943 0.0000002631 0.0000002337 0.0000002043 0.0000001838 0.0000001601 0.0000001409 0.0000001324 0.0000001197 0.0000001070 0.0000000933 0.0000000824 0.0000000773 0.0000000693 0.0000000629 0.0000000573 0.0000000524 0.0000000492 0.0000000428 0.0000000411 0.0000000362 0.0000000344 0.0000000304 0.0000000292 0.0000000264 0.0000000240 0.0000000231 0.0000000215 0.0000000183 0.0000000176 0.0000000160 0.0000000159 0.0000000140 0.0000000121 0.0000000126 0.0000000109 0.0000000104 0.0000000090 0.0000000094 0.0000000081 0.0000000077 0.0000000078 0.0000000069 0.0000000070 0.0000000057 0.0000000000
0.0489297821 0.0349918870 0.0255305428 0.0188705116 0.0141764696 0.0107796352 0.0083045874 0.0065086933 0.0050186308 0.0040093557 0.0032029626 0.0025680297 0.0020853626 0.0016959936 0.0013996712 0.0012689991 0.0008788681 0.0006220382 0.0004494648 0.0003298020 0.0002457454 0.0001866117 0.0001425293 0.0001106860 0.0000866833 0.0000688869 0.0000547711 0.0000441697 0.0000355839 0.0000291313 0.0000237800 0.0000197504 0.0000163834 0.0000137321 0.0000115432 0.0000097150 0.0000082108 0.0000069700 0.0000059740 0.0000051197 0.0000044163 0.0000037859 0.0000033187 0.0000028741 0.0000025195 0.0000021803 0.0000019222 0.0000016836 0.0000014976 0.0000013139 0.0000011697 0.0000010352 0.0000009239 0.0000008192 0.0000007364 0.0000006655 0.0000005977 0.0000005350 0.0000004875 0.0000004315 0.0000003989 0.0000003616 0.0000003281 0.0000002938 0.0000002726 0.0000002496 0.0000002295 0.0000002075 0.0000001929 0.0000001765 0.0000001626 0.0000001467 0.0000001385 0.0000001287 0.0000001161 0.0000001063 0.0000001012 0.0000000935 0.0000000870 0.0000000806 0.0000000737 0.0000000703 0.0000000646 0.0000000611 0.0000000564 0.0000000517 0.0000000486 0.0000000456 0.0000000430 0.0000000403 0.0000000391 0.0000000345 0.0000000320 0.0000000314 0.0000000000
0.0198695654 0.0141564934 0.0102767120 0.0075678005 0.0056627117 0.0042855367 0.0032864852 0.0025652556 0.0019665137 0.0015640375 0.0012430936 0.0009915230 0.0008012111 0.0006494056 0.0005325377 0.0004815295 0.0003310747 0.0002320957 0.0001660803 0.0001209925 0.0000897548 0.0000671999 0.0000514597 0.0000395601 0.0000308315 0.0000242793 0.0000191865 0.0000153636 0.0000124432 0.0000101182 0.0000082261 0.0000067720 0.0000055935 0.0000046471 0.0000038808 0.0000032442 0.0000027455 0.0000023256 0.0000019969 0.0000017038 0.0000014450 0.0000012265 0.0000010799 0.0000009250 0.0000008029 0.0000007083 0.0000006186 0.0000005435 0.0000004715 0.0000004231 0.0000003687 0.0000003330 0.0000002909 0.0000002600 0.0000002272 0.0000002063 0.0000001812 0.0000001668 0.0000001496 0.0000001376 0.0000001241 0.0000001120 0.0000000974 0.0000000897 0.0000000794 0.0000000754 0.0000000679 0.0000000633 0.0000000592 0.0000000534 0.0000000487 0.0000000439 0.0000000425 0.0000000380 0.0000000346 0.0000000328 0.0000000293 0.0000000291 0.0000000252 0.0000000256 0.0000000222 0.0000000218 0.0000000199 0.0000000176 0.0000000167 0.0000000144 0.0000000139 0.0000000134 0.0000000121 0.0000000118 0.0000000109 0.0000000099 0.0000000090 0.0000000088 0.0000000000
0.0191781671 0.0137626153 0.0100742182 0.0074732061 0.0056293582 0.0042933146 0.0033182727 0.0026098336 0.0020175666 0.0016192171 0.0012969492 0.0010421413 0.0008490543 0.0006924158 0.0005716935 0.0005184510 0.0003607279 0.0002561076 0.0001855360 0.0001373210 0.0001026740 0.0000778563 0.0000599420 0.0000464231 0.0000364292 0.0000289522 0.0000230360 0.0000186539 0.0000150814 0.0000123725 0.0000101510 0.0000083773 0.0000069547 0.0000057950 0.0000048753 0.0000041203 0.0000035021 0.0000029748 0.0000025279 0.0000021795 0.0000018701 0.0000016231 0.0000014215 0.0000012254 0.0000010746 0.0000009436 0.0000008195 0.0000007189 0.0000006299 0.0000005748 0.0000005021 0.0000004474 0.0000003958 0.0000003527 0.0000003160 0.0000002800 0.0000002561 0.0000002290 0.0000002088 0.0000001857 0.0000001683 0.0000001508 0.0000001378 0.0000001272 0.0000001187 0.0000001056 0.0000000995 0.0000000889 0.0000000825 0.0000000751 0.0000000678 0.0000000662 0.0000000600 0.0000000549 0.0000000500 0.0000000474 0.0000000432 0.0000000406 0.0000000369 0.0000000343 0.0000000324 0.0000000295 0.0000000274 0.0000000260 0.0000000236 0.0000000218 0.0000000220 0.0000000205 0.0000000184 0.0000000175 0.0000000162 0.0000000145 0.0000000137 0.0000000135 0.0000000000
0.0259026809 0.0184905883 0.0134503925 0.0099172380 0.0074243246 0.0056336277 0.0043283410 0.0033810897 0.0025969181 0.0020722874 0.0016482040 0.0013198528 0.0010688275 0.0008660551 0.0007133357 0.0006463536 0.0004451318 0.0003130536 0.0002251177 0.0001649391 0.0001226278 0.0000923251 0.0000704989 0.0000545085 0.0000424946 0.0000333847 0.0000265982 0.0000213729 0.0000172583 0.0000140642 0.0000115207 0.0000094188 0.0000078596 0.0000065289 0.0000054684 0.0000045694 0.0000038872 0.0000032905 0.0000028247 0.0000024041 0.0000020773 0.0000017912 0.0000015597 0.0000013487 0.0000011567 0.0000010074 0.0000008818 0.0000007717 0.0000006914 0.0000006011 0.0000005463 0.0000004787 0.0000004223 0.0000003777 0.0000003337 0.0000003041 0.0000002690 0.0000002390 0.0000002154 0.0000001988 0.0000001847 0.0000001630 0.0000001515 0.0000001332 0.0000001207 0.0000001122 0.0000001035 0.0000000945 0.0000000856 0.0000000799 0.0000000745 0.0000000684 0.0000000610 0.0000000576 0.0000000521 0.0000000487 0.0000000460 0.0000000432 0.0000000395 0.0000000360 0.0000000320 0.0000000312 0.0000000295 0.0000000265 0.0000000267 0.0000000228 0.0000000222 0.0000000207 0.0000000193 0.0000000184 0.0000000158 0.0000000155 0.0000000144 0.0000000144 0.0000000000
0.0776247931 0.0557603225 0.0408314283 0.0302927329 0.0228106183 0.0174186513 0.0134680698 0.0105835173 0.0081767505 0.0065522684 0.0052576106 0.0042243576 0.0034395141 0.0028049935 0.0023164048 0.0021010655 0.0014621473 0.0010360753 0.0007521053 0.0005526687 0.0004134313 0.0003126081 0.0002406432 0.0001868852 0.0001468629 0.0001158234 0.0000926002 0.0000746365 0.0000605077 0.0000494739 0.0000406731 0.0000334090 0.0000277868 0.0000232174 0.0000194608 0.0000164961 0.0000139621 0.0000118582 0.0000101639 0.0000087019 0.0000075124 0.0000064741 0.0000056224 0.0000048730 0.0000042716 0.0000036908 0.0000032519 0.0000028263 0.0000025125 0.0000022410 0.0000019885 0.0000017719 0.0000015801 0.0000014047 0.0000012494 0.0000011090 0.0000009899 0.0000009168 0.0000008139 0.0000007377 0.0000006764 0.0000006045 0.0000005458 0.0000005061 0.0000004647 0.0000004204 0.0000003913 0.0000003535 0.0000003184 0.0000002940 0.0000002713 0.0000002514 0.0000002349 0.0000002156 0.0000001980 0.0000001859 0.0000001691 0.0000001576 0.0000001441 0.0000001362 0.0000001242 0.0000001149 0.0000001108 0.0000000997 0.0000000930 0.0000000893 0.0000000796 0.0000000775 0.0000000717 0.0000000684 0.0000000610 0.0000000571 0.0000000549 0.0000000519 0.0000000000
0.0195223819 0.0138402945 0.0099952905 0.0073102185 0.0054405183 0.0041003649 0.0031280418 0.0024246774 0.0018510169 0.0014650527 0.0011606588 0.0009227376 0.0007416008 0.0005986250 0.0004897720 0.0004419460 0.0003008681 0.0002103216 0.0001500254 0.0001083566 0.0000801443 0.0000599758 0.0000454662 0.0000348166 0.0000270151 0.0000211916 0.0000167439 0.0000134130 0.0000107036 0.0000086935 0.0000070712 0.0000058095 0.0000047938 0.0000039702 0.0000033132 0.0000027879 0.0000023369 0.0000019584 0.0000016670 0.0000014238 0.0000012343 0.0000010656 0.0000009095 0.0000007995 0.0000006839 0.0000005888 0.0000005249 0.0000004467 0.0000004022 0.0000003493 0.0000003128 0.0000002695 0.0000002415 0.0000002165 0.0000001972 0.0000001712 0.0000001541 0.0000001408 0.0000001240 0.0000001116 0.0000001015 0.0000000922 0.0000000842 0.0000000775 0.0000000713 0.0000000653 0.0000000583 0.0000000529 0.0000000486 0.0000000454 0.0000000417 0.0000000365 0.0000000360 0.0000000320 0.0000000300 0.0000000271 0.0000000262 0.0000000227 0.0000000215 0.0000000210 0.0000000196 0.0000000168 0.0000000161 0.0000000142 0.0000000148 0.0000000135 0.0000000127 0.0000000120 0.0000000112 0.0000000106 0.0000000092 0.0000000086 0.0000000080 0.0000000076 0.0000000000
0.0352644008 0.0252597856 0.0184693845 0.0137102738 0.0103281491 0.0078702023 0.0060832464 0.0047806222 0.0036959359 0.0029649737 0.0023779091 0.0019111457 0.0015582603 0.0012725612 0.0010510341 0.0009550499 0.0006658601 0.0004740130 0.0003441030 0.0002546279 0.0001910244 0.0001452909 0.0001116416 0.0000869550 0.0000684960 0.0000544912 0.0000436983 0.0000353117 0.0000287893 0.0000234912 0.0000193682 0.0000160294 0.0000133951 0.0000111394 0.0000094795 0.0000080128 0.0000067917 0.0000058205 0.0000049840 0.0000043179 0.0000036891 0.0000032143 0.0000027715 0.0000024428 0.0000021200 0.0000018562 0.0000016384 0.0000014546 0.0000012787 0.0000011434 0.0000010080 0.0000009016 0.0000008023 0.0000007218 0.0000006444 0.0000005755 0.0000005244 0.0000004718 0.0000004230 0.0000003822 0.0000003438 0.0000003234 0.0000002915 0.0000002675 0.0000002441 0.0000002259 0.0000002047 0.0000001884 0.0000001688 0.0000001597 0.0000001459 0.0000001378 0.0000001247 0.0000001154 0.0000001060 0.0000000979 0.0000000921 0.0000000842 0.0000000769 0.0000000736 0.0000000660 0.0000000621 0.0000000578 0.0000000563 0.0000000518 0.0000000488 0.0000000436 0.0000000414 0.0000000385 0.0000000368 0.0000000337 0.0000000330 0.0000000313 0.0000000291 0.0000000000
